Movie_name	Crtics_reviewer_count	Audience_reviewer_count
814255	145	254164
878835	139	11552
10	22	14648
1000013-12_angry_men	50	104220
1000079-20000_leagues_under_the_sea	27	68831
1000085-2001_a_space_odyssey	83	297365
10000_bc	146	411249
1000121-39_steps	45	23728
1000123-310_to_yuma	26	9202
10002008-charly	10	4819
1000204-abraham_lincoln	9	4
10002114-dark_water	15	21430
1000224-accused	20	20742
10002516-lost_city	84	25933
1000253-adams_rib	26	10501
10002635-bridge_of_san_luis_rey	24	1932
10003276-criminal	123	6697
1000334-adventures_of_mark_twain	5	1027
10003437-deep_blue	52	4689
1000355-adventures_of_robin_hood	45	33695
10003876-man_hunt	10	5
10004050-bandwagon	5	8
10004069-whore	6	1
10004209-tristan_and_isolde	122	220933
10004226-wild_side	16	6
10004232-10004232-tale_of_two_pizzas	8	
10004288-running_scared	130	135348
10004352-going_the_distance	5	13033
10004504-ultraviolet	78	280040
10004635-home_of_the_brave	14	6
10004659-arthur	90	134425
10004662-last_holiday	116	372947
10004684-malevolence	18	1853
10004697-eternal	33	1294
10004835-farewell_to_arms	10	1456
10004890-narrow_margin	9	1107
10004925-matador	153	73683
10005057-smile	13	2056
10005104-intruder	29	9695
10005225-a_tout_de_suite	44	1191
10005403-the_baxter	75	7432
10005499-oliver_twist	139	23263
1000560-alamo	20	7291
10005755-g	29	1139
1000580-alexander_the_great	7	5378
1000581-alfie	25	14635
10005819-10005819-neverwas	7	4058
10006007-the_second_chance	15	79543
10006057-moonlight	10	1429
1000617-aliens	65	427995
10006188-rise	15	8239
1000626-all_about_eve	64	44737
10006270	38	1117
10006324	27	2392
10006343-dirty	28	7319
10006370-stay_alive	58	113402
1000640-all_of_me	35	14305
1000642-all_quiet_on_the_western_front	42	17860
10006434-dreamland	15	5657
10006485-black_gold	50	1853
1000654-all_the_kings_men	33	4810
10006588-street_fight	22	2975
10006848-the_motel	31	4038
10006849-once_in_a_lifetime	60	1417
10006856-requiem	35	4718
10006940-silk	5	2528
10007139-park	11	8
10007142-the_4th_dimension	8	9
1000725-always	23	22709
10007333-bon_cop_bad_cop	9	20385
10007415-amazing_grace	123	54285
10007538-silence	6	7
10007598-cocaine_cowboys	51	77105
10007614-gone	13	3323
10007714-situation	48	2381
10007821-snow_blind	5	7
10007856-four_sheets_to_the_wind	7	1
10007886-the_tigers_tail	21	5
10007893-its_a_boy_girl_thing	9	30342
10007898-slipstream	40	3525
10007902-delirious	60	8455
10007916_interview	124	25853
1000792-american_anthem	16	1331
10007923-save_me	31	1032
10007947-ten	82	77948
10007985-happening	176	370344
10008126-straightheads	20	4636
10008140-borderland	8	4166
10008200-spiral	10	8997
10008234-alexandra	59	1334
10008390_blood_and_tears	6	1719
10008423-cool_school	26	1
10008496-pathology	21	49433
10008502-christmas_carol	192	776102
10008507-deep_water	55	4939
10008562-road_to_victory	8	
10008587-beverly_hills_chihuahua	97	186562
10008588-journey_3d	157	256200
10008601-fireflies_in_the_garden	52	45146
10008606-eye	78	303453
10008607-day_of_the_dead	7	11085
10008611-my_best_friends_girl	58	86585
10008613-burrowers	11	10855
10008617-midnight_meat_train	29	143435
10008618-return	75	11780
10008621-run_fat_boy_run	153	102861
10008652-closing_escrow	13	1121
10008655-whiteout	113	538876
10008661-randy_and_the_mob	9	8
10008667-black_irish	13	1684
10008678-wild_child	25	17404
10008687-powder_blue	8	7410
10008698-king_corn	26	3195
10008699-terrors_advocate	43	1953
10008700-darfur_now	59	2308
10008703-rails_and_ties	47	10099
10008705-mr_untouchable	26	3
10008706-house	12	16720
10008744-canvas	27	6
10008747-skid_row	6	8
10008748-saawariya	20	5814
1000875-amityville_horror	28	86791
10008754-flawless	94	12563
10008760-what_happens_in_vegas	132	501672
10008786-good	71	41566
10008830-bill	20	8166
10008849-married_life	118	5071
10008856-badland	18	9
10008924-oxford_murders	10	14543
10008954-untraceable	149	225122
10008991-informers	106	18471
10008992-meeting_resistance	22	0
10009001-the_freshman	46	11807
10009005-a_bloody_aria	24	9
10009055-rocker	123	44174
10009063-perfect_holiday	57	159654
10009066-la_graine_et_le_mulet	52	9057
10009075-moon	189	100186
10009083-land_of_the_lost	188	542591
10009132-rec	32	50143
10009138-look	35	0
1000915-and_god_created_woman	8	1596
10009151-box	152	359104
10009169-man_in_the_chair	35	3
10009172-undoing	13	7
10009176-black_water	19	3914
10009210-duchess_of_langeais	66	6
10009212-ben_x	37	6739
10009225-body_of_lies	209	129864
10009239-passengers	30	29488
10009244-the_grand	43	3048
10009253-the_hammer	40	4728
10009254-shutter	62	241190
10009274-priest	94	86499
10009323-broken	39	2515
10009334-the_escapist	43	14802
10009355-sugar	134	12603
10009420-quid_pro_quo	35	1770
10009421-red	27	2597
10009426-guitar	18	1054
10009458-defiance	180	251242
10009460-the_road	209	248294
10009462-g_force	125	964633
10009469-the_other_man	39	4506
10009493-duchess	165	68798
10009516-women	146	62052
10009526-public_enemies	270	633597
10009547-night_and_day	13	3
10009552-julia	57	17294
