"Director"	"Year"	"AvgAS"	"AvgCS"
"A. Dean Bell"	2003	48	68
"A. Edward Sutherland"	1939	57	75.5
"A.J. Edwards"	2014	52.3333333333333	65.3333333333333
"Åke Sandgren"	1993	55.5	71.25
"Éric Warin"	2017	57	64.4
"Éva Gárdos"	2001	58.5	62.8333333333333
"Ágúst Guðmundsson"	2001	60	65.8571428571429
"Ágnes Hranitzky"	2012	62	68.75
"Álex de la Iglesia"	2010	58.7777777777778	62.2222222222222
"Álex de la Iglesia"	2011	59.3	63.4
"Álex de la Iglesia"	2014	59.2727272727273	65.0909090909091
"Álex de la Iglesia"	2016	59.5	67
"Aamir Khan"	2007	62.3076923076923	68.7692307692308
"Aaron Aites"	2009	61.9285714285714	67.2857142857143
"Aaron Blaise"	2003	62.0666666666667	65.3333333333333
"Aaron Fernandez"	2014	61.5	66.4375
"Aaron I. Naar"	2015	60.6470588235294	65.8823529411765
"Aaron J. Wiederspahn"	2008	60.5	65
"Aaron Katz (II)"	2011	60.0526315789474	65.6315789473684
"Aaron Katz (II)"	2014	59.75	66.4
"Aaron Kaufman"	2016	58.1904761904762	63.2380952380952
"Aaron Mirtes"	2017	57.4545454545455	60.3636363636364
"Aaron Moorhead"	2013	57.7391304347826	62.0869565217391
"Aaron Moorhead"	2014	55.9166666666667	61.0416666666667
"Aaron Moorhead"	2015	56.48	62.12
"Aaron Norris"	1990	55.8076923076923	60.1538461538462
"Aaron Norris"	1991	55.3703703703704	58.4074074074074
"Aaron Norris"	1994	54.5357142857143	56.3214285714286
"Aaron Rose"	2008	55	56.5862068965517
"Aaron Schock"	2011	55.8333333333333	57.7666666666667
"Aaron Seltzer"	2006	55.1290322580645	56.1290322580645
"Aaron Seltzer"	2007	54.3125	54.4375
"Aaron Seltzer"	2008	52.4117647058824	51.3235294117647
"Aaron Seltzer"	2010	51.7428571428571	49.9714285714286
"Aaron Seltzer"	2013	50.8888888888889	48.5833333333333
"Aaron Seltzer"	2014	50.5135135135135	47.2702702702703
"Aaron Sorenson"	2014	50.8421052631579	48
"Aaron Wilson"	2014	50.3846153846154	48.7435897435897
"Aaron Woodley"	2009	50.425	48.35
"Aaron Woodley"	2017	50.0243902439024	47.5121951219512
"Aaron Woolf"	2007	50.6904761904762	48.6666666666667
"Abbas Kiarostami"	1999	51.5581395348837	49.5813953488372
