"Writter"	"Year"	"AvgAS"	"AvgCS"
"??lafur Egill Egilsson"	2008	58	29
"A. Dean Bell"	2003	53	48.5
"A. S. Fleischman"	1961	45.6666666666667	60
"A.B. Guthrie Jr."	1953	54.5	69.25
"A.I. Bezzerides"	1949	59.4	75.4
"A.I. Bezzerides"	1952	62.8333333333333	79.5
"A.J. Edwards"	2014	60	74.5714285714286
"A.J. Lieberman"	2016	56.25	65.25
"A.L. Katz"	1993	52.2222222222222	60.4444444444444
"A.L. Katz"	1996	50.1	55.6
"A.M. Homes"	2001	51.5454545454545	55.0909090909091
"A.R. Rawlinson"	1935	52.9166666666667	57.75
"A.R. Rawlinson"	1940	54.6153846153846	61
"A.R. Simoun"	1987	54.7142857142857	61
"A.S. Fleischman"	1961	53.1333333333333	62.4666666666667
"Émile Gaudreault"	1999	51.625	62.5625
"Éva Gárdos"	2001	52.4705882352941	62.1176470588235
"Ágúst Guðmundsson"	2001	53.3888888888889	63.3333333333333
"Álex de la Iglesia"	2010	52.3157894736842	60.5263157894737
"Álex de la Iglesia"	2011	52.9	61.2
"Álex de la Iglesia"	2014	53.1904761904762	62.1904761904762
"Álex de la Iglesia"	2016	53.5909090909091	63.3636363636364
"Álvaro Rodríguez"	2000	52.2608695652174	61.5652173913044
"Álvaro Rodríguez"	2010	52.7083333333333	62
"Álvaro Rodríguez"	2017	53.12	61.76
"Ángel de la Cruz"	2014	54.1153846153846	63.0769230769231
"Aaron Cohen"	2014	54.5925925925926	62.3333333333333
"Aaron Covington"	2015	55.8214285714286	63.5
"Aaron Fernandez"	2014	55.7241379310345	64.1724137931034
"Aaron Golden"	2012	55.9666666666667	63.3666666666667
"Aaron Guzikowski"	2012	56	62.9677419354839
"Aaron Guzikowski"	2013	56.96875	63.5625
"Aaron Guzikowski"	2015	56.2727272727273	62
"Aaron Harberts"	2001	55.5882352941176	60.4117647058824
"Aaron J. Wiederspahn"	2008	55.6571428571429	60.1142857142857
"Aaron Katz (II)"	2011	55.5555555555556	60.5833333333333
"Aaron Katz (II)"	2014	55.5135135135135	61.1351351351351
"Aaron Latham"	1980	56.1842105263158	61.2894736842105
"Aaron Latham"	1985	55.4615384615385	60.2051282051282
"Aaron Latham"	1993	56.075	59.825
"Aaron McGruder"	2012	56.1219512195122	59.3414634146341
"Aaron Mendelsohn"	1997	55.6904761904762	59
"Aaron Mendelsohn"	1998	55.2790697674419	58.1162790697674
"Aaron Mirtes"	2017	54.9772727272727	56.7954545454545
"Aaron Moorhead"	2015	55.3111111111111	57.4888888888889
"Aaron Rahsaan Thomas"	2007	55.804347826087	56.2391304347826
"Aaron Schock"	2011	56.3191489361702	57
"Aaron Seltzer"	1996	55.7916666666667	55.9791666666667
"Aaron Seltzer"	2000	55.530612244898	55.9183673469388
"Aaron Seltzer"	2006	55.1	54.94
"Aaron Seltzer"	2007	54.5882352941176	53.9019607843137
"Aaron Seltzer"	2008	53.3584905660377	51.9245283018868
"Aaron Seltzer"	2010	52.9074074074074	51.037037037037
"Aaron Seltzer"	2013	52.3272727272727	50.1090909090909
"Aaron Seltzer"	2014	52.0535714285714	49.2142857142857
"Aaron Sorkin"	1992	52.7017543859649	49.7719298245614
"Aaron Sorkin"	1995	53.1206896551724	50.4655172413793
"Aaron Sorkin"	2007	53.4576271186441	51
"Aaron Sorkin"	2010	54	51.75
"Aaron Sorkin"	2011	54.5245901639344	52.4426229508197
"Aaron Sorkin"	2015	54.8225806451613	52.9838709677419
"Aaron Sterns"	2014	54.5714285714286	52.9047619047619
"Aaron Stockard"	2007	55.0625	53.546875
"Aaron Stockard"	2010	55.5230769230769	54.1538461538462
"Aaron Wilson"	2014	55.1818181818182	54.5
"Aaron Woodley"	2017	54.865671641791	53.8955223880597
"Aaron Woolf"	2007	55.2058823529412	54.5147058823529
"Aaron Yeger"	2015	55.536231884058	54.9710144927536
"Aasif Mandvi"	2010	55.7714285714286	55.3428571428571
"Abbas Kiarostami"	1999	56.2253521126761	55.8028169014084
"Abbas Kiarostami"	2003	56.5416666666667	56.2361111111111
"Abbas Kiarostami"	2011	56.7260273972603	56.6849315068493
"Abbas Kiarostami"	2013	56.7702702702703	57.0405405405405
"Abbas Kiarostami"	2014	57.1333333333333	57.56
"Abbas Tyrewala"	2005	57.3684210526316	57.8947368421053
"Abby Aron"	2003	57.3636363636364	58.2077922077922
"Abby Kohn"	1999	57.5128205128205	58.1923076923077
"Abby Kohn"	2009	57.5316455696203	57.9620253164557
