movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
revenge_of_the_pink_panther	70%	78%	Peter Sellers,Herbert Lom,Dyan Cannon,Robert Webber,Burt Kwouk,Paul Stewart,Robert Loggia,Graham Stark,Tony Beckley,Valerie Leon,Adrienne Corri,Andre Maranne,Sue Lloyd,Alfie Bass,Danny Schiller,Douglas Wilmer,Paul Antrim,Elisabeth Welch,Charles Augins,Alec Bregonzi,Anthony Chinn,Maureen Tann,Maria Charlès,Me Me Lai,Jacqui Simm,Fiesta Mei Ling,Arnold Diamond,John Newbury,John Clive,Brian Jackson,Margaret Anderson,Dave King,Andrew Lodge,Henry McGee,Christine Shaw,Julian Orchard,Michael Ward,Ferdinand ,John Bluthal,John A. Tinn,Kien Jing,Steve Plytas,Bernie R. Hickban,Andrew Sachs,John Wyman,Irvin Allen,Robert LaBassiere,Rita Webb,Lon Satton,Rosita Yarboy,Pepsi Maycock,Frank Williams,Keith Hodiak,John Heller	/celebrity/1014058-peter_sellers,/celebrity/herbert_lom,/celebrity/dyan_cannon,/celebrity/robert_webber,/celebrity/burt-kwouk,/celebrity/paul_stewart,/celebrity/robert_loggia,/celebrity/graham_stark,/celebrity/tony_beckley,/celebrity/valerie_leon,/celebrity/adrienne_corri,/celebrity/andre-maranne,/celebrity/sue_lloyd,/celebrity/alfie_bass,/celebrity/danny_schiller,/celebrity/douglas_wilmer,/celebrity/paul_antrim,/celebrity/elisabeth_welch,/celebrity/charles_augins,/celebrity/alec_bregonzi,/celebrity/anthony_chinn,/celebrity/maureen_tann,/celebrity/maria-charles,/celebrity/me_me_lai,/celebrity/jacqui_simm,/celebrity/fiesta_mei_ling,/celebrity/arnold_diamond,/celebrity/john_newbury,/celebrity/john-clive,/celebrity/brian_jackson,/celebrity/margaret_anderson,/celebrity/dave-king,/celebrity/andrew_lodge,/celebrity/henry_mcgee,/celebrity/christine_shaw,/celebrity/julian_orchard,/celebrity/michael_ward,/celebrity/ferdinand_ferdy_mayne,/celebrity/john_bluthal,/celebrity/john_a_tinn,/celebrity/kien_jing,/celebrity/steve_plytas,/celebrity/bernie_r_hickban,/celebrity/andrew_sachs,/celebrity/john_wyman,/celebrity/irvin_allen,/celebrity/robert_labassiere,/celebrity/rita_webb,/celebrity/lon_satton,/celebrity/rosita_yarboy,/celebrity/pepsi_maycock,/celebrity/frank_williams,/celebrity/keith_hodiak,/celebrity/john_heller	In Revenge of the Pink Panther, for the final time, the bumbling but impeturbable Inspector Clouseau (Peter Sellers) maddens his long-suffering boss Dreyfus (Herbert Lom), sharpens his wits and martial skills with his manservant Cato (Burt Kwouk) and foils the bad guys without ever having a clue about what he is doing. In the story, Clouseau allows a gang of drug racketeers to believe that he has been assassinated and dons a series of disguises as he travels all over the world in order to apprehend the culprits. He is assisted by Simone Legree (Dyan Cannon), the former girlfriend of the drug-lord Douvier (Robert Webber). Though it received a very mixed reception from critics, this, the sixth of the Pink Panther series, did very well at the box-office. Sadly, it was actor Peter Sellers' final Pink Panther performance before his death in 1980 (the later film, The Trail of Pink Panther was composed of outtakes from previous Pink Panther films).	Jul 21, 1978 wide	Comedy, Mystery & Suspense	MGM	Blake Edwards	99 minutes	NONE	PG	Blake Edwards, Ron Clark, Frank Waldman
wait_until_dark	91%	95%	Audrey Hepburn,Alan Arkin,Richard Crenna,Jack Weston,Samantha Jones,Efrem Zimbalist Jr.,Julie Herrod,Frank O'Brien,Gary Morgan,Jean Del Val	/celebrity/audrey_hepburn,/celebrity/alan_arkin,/celebrity/richard_crenna,/celebrity/jack_weston,/celebrity/samantha-jones,/celebrity/efrem_zimbalist_jr,/celebrity/julie_herrod,/celebrity/frank_obrien,/celebrity/gary_morgan,/celebrity/jean-del-val	Wait Until Dark is an innovative, highly entertaining and suspenseful thriller about a blind housewife, Susy Hendrix (Audrey Hepburn). Independent and resourceful, Susy is learning to cope with her blindness, which resulted from a recent accident. She is aided by her difficult, slightly unreliable young neighbor Gloria (Julie Herrod) with whom she has an exasperated but lovingly maternal relationship. Susy's life is changed as she is terrorized by a group of criminals who believe she has hidden a baby doll used by them to smuggle heroin into the country. Unknown to Susy, her photographer husband Sam (Efrem Zimbalist Jr.) took the doll as a favor for a woman he met on an international plane flight and unwittingly brought the doll to the couple's New York apartment when the woman became afraid of the customs officials. Alone in her apartment and cut-off from the outside world, Susy must fight for her life against a gang of ruthless criminals, led by the violent, psychotic Roat (Alan Arkin). The tension builds as Roat, aided by his gang, impersonates police officers and friends of her husband in order to win Susy's confidence, gaining access to her apartment to look for the doll. The climax of the film, a violent physical confrontation between Susie and Roat in her dark kitchen, is one of the most memorable and frightening scenes in screen history. All performances are outstanding, particularly those of Audrey Hepburn who plays a vulnerable, but self-reliant woman, and Alan Arkin, in perhaps his best role, as the ruthless, manipulative Roat.	Oct 26, 1967 wide	Mystery & Suspense	Warner Home Video	Terence Young	108 minutes	NONE	NR	Jane-Howard Carrington, Robert Carrington
10006848-the_motel	64%	87%	Jeffrey Chyau,Sung Kang,Jade Wu,Samantha Futerman,Alexis Chang,Stephen Chen,Conor J. White,Clint Jordan,Jackson Budinger,Eleanor Hutchins,Ron Domingo,Jackie Nova,Jake Holbrook,Ian Boyd,Glen Brackenridge,Cheryl Campbell,Douglas Bell,Alia Raza,Melanie Sands,Olivia Kim,Albert Bramante,Fausat Lawal,Grace Lamb,David Keller,Zeke Hawkins,Heather White,Matthew Mooney,Matthew Schimkowitz	/celebrity/jeffrey-chyau,/celebrity/sung_kang,/celebrity/jade_wu,/celebrity/samantha-futerman,/celebrity/alexis-chang,/celebrity/stephen_chen,/celebrity/conor_j_white,/celebrity/clint_jordan,/celebrity/jackson_budinger,/celebrity/eleanor-hutchins,/celebrity/ron_domingo,/celebrity/1210697-jackie_nova,/celebrity/jake_holbrook,/celebrity/ian_boyd,/celebrity/glen_brackenridge,/celebrity/cheryl_campbell,/celebrity/douglas_bell,/celebrity/alia_raza,/celebrity/melanie_sands,/celebrity/olivia_kim,/celebrity/albert_bramante,/celebrity/fausat_lawal,/celebrity/grace_lamb,/celebrity/david_keller,/celebrity/zeke_hawkins,/celebrity/heather_white,/celebrity/matthew_mooney,/celebrity/matthew_schimkowitz	Writer-director Michael Kang makes his feature debut with the coming-of-age comedy, The Motel. Newcomer Jeffrey Chyau stars as Ernest Chin, a chubby 13 year-old Chinese-American boy whose mother (Jade Wu) runs a sleazy motel in upstate New York. The clientele of The Motel are predominantly prostitutes and their johns, which spurs Ernest's budding sexual curiosity. When he's not cleaning rooms, eavesdropping on guests, avoiding the local bully, or tormenting his little sister Katie (Alexis Chin), Ernest harbors a crush on Christine (Samantha Futerman), who works at a nearby Chinese restaurant. Ernest has entered a writing contest at school with a story about his unhappy life at The Motel, and won an honorable mention. His scornful mother thinks his writing is a waste of time, and Ernest doesn't want her to see the story for fear that it will anger her. He's a social misfit, so he's intrigued when Sam Kim (Sung Kang of Better Luck Tomorrow), a Korean-American guest who frequently brings home prostitutes, befriends him. Sam takes Ernest under his wing, teaching him to drive and offering him his wisdom regarding women. Of course, Sam turns out to have his own serious issues with the opposite sex, and his advice to Ernest about Christine may not be exactly what the boy needs. Kang won the Asian American International Film Festival screenwriting competition with his script for The Motel in 2001, and the completed film was shown at the festival in 2005. The script was workshopped at the Sundance labs, where filmmaker Miguel Arteta (The Good Girl) signed on as a producer.	Jun 28, 2005 wide	Comedy, Drama	Palm Pictures	Michael Kang	76 minutes	NONE	NR	Michael Kang
love_in_the_afternoon	79%	88%	Audrey Hepburn,Gary Cooper,Maurice Chevalier,John McGiver,Van Doude,Lise Bourdin,Paul Bonifas,Audrey Wilder,Gyula Kokas,Michel Kokas,George Cocos,Victor Gazzoli,Olga Valéry ,Charles Bouillaud,Betty Schneider,Minerva Pious,Valerie Croft,Filo,Gregoire Gromoff,Moustache,Gloria France,Jacques Ary,Jean Sylvain,Leila Croft,Richard Flagy,Marcelle Praince,Jeanne Papir,Alexandre Trauner,Guy Delorme,Olivia Chevalier,Solon Smith,Eve Marley,Jean Rieubon,Christian Lude,Charles Lemontier,Emile Mylos,Alexander Trauner,Bernard Musson,Michele Selignac	/celebrity/audrey_hepburn,/celebrity/gary_cooper,/celebrity/maurice_chevalier,/celebrity/john_mcgiver,/celebrity/van_doude,/celebrity/lise_bourdin,/celebrity/paul_bonifas,/celebrity/audrey_wilder,/celebrity/gyula_kokas,/celebrity/michel_kokas,/celebrity/george_cocos,/celebrity/victor_gazzoli,/celebrity/olga_valry,/celebrity/charles_bouillaud,/celebrity/betty_schneider,/celebrity/minerva-pious,/celebrity/valerie_croft,/celebrity/filo,/celebrity/gregoire_gromoff,/celebrity/moustache,/celebrity/gloria_france,/celebrity/jacques_ary,/celebrity/jean_sylvain,/celebrity/leila_croft,/celebrity/richard_flagy,/celebrity/marcelle_praince,/celebrity/jeanne_papir,/celebrity/alexandre_trauner,/celebrity/guy_delorme,/celebrity/olivia_chevalier,/celebrity/solon_smith,/celebrity/eve_marley,/celebrity/jean_rieubon,/celebrity/christian_lude,/celebrity/charles_lemontier,/celebrity/emile_mylos,/celebrity/alexander_trauner,/celebrity/bernard_musson,/celebrity/michele_selignac	An aging playboy hires a detective to locate a mysterious young woman.	May 29, 1957 limited	Classics, Comedy, Drama, Romance	Twentieth Century Fox Home Entertainment	Billy Wilder	126 minutes	NONE	NR	Billy Wilder, I.A.L. Diamond
marketa-lazarova	89%	91%	Karla Chadimová,Vladimír Mensík,Harry Studt,Josef Kemr,Frantisek Velecký,Vlastimil Harapes,Magda Vásáryová	/celebrity/karla_chadimova,/celebrity/vladimir_mensik,/celebrity/harry_studt,/celebrity/josef_kemr,/celebrity/frantisek_velecky,/celebrity/vlastimil_harapes,/celebrity/magda_vasaryova	Vladislav Vancura's novel Marketa Lazarova was based on a centuries-old Czechoslovakian legend. The film version concerns itself with a group of pillaging feudal lords. Though they regard themselves as noble knights, these lords are a raping, robbing lot, slaves to the many superstitions that grip their land. Magda Vasaryova plays Marketa Lazarova, whose misadventures begin when she is kidnapped and abused by the "protagonists." Director Frantisek Vlacil spares us nothing in bringing the Vancura novel to the screen, not even a gruesomely convincing public beheading. ~ Hal Erickson, Rovi	Nov 24, 1967 wide	Art House & International, Classics, Drama	Criterion Collection	Frantisek Vlácil	180 minutes	NONE	NR	Frantisek Vlácil
hellraiser_deader	25%	17%	Doug Bradley,Kari Wuhrer,Paul Rhys,Georgina Rylance,Simon Kunz,Marc Warren	/celebrity/doug_bradley,/celebrity/kari_wuhrer,/celebrity/paul_rhys,/celebrity/georgina_rylance,/celebrity/simon_kunz,/celebrity/marc_warren	The cenobites are back and they're bringing an army of the dead to create hell on earth on the latest installment of the long-running Hellraiser series. After viewing a mysterious videotape showcasing a shocking act of death and resurrection, undercover reporter Amy Klein (Kari Wuhrer) soon learns of an underground group who possesses the power to restore life to the dead. Soon deeply entangled in the group's malevolent experiments with the afterlife, Amy finds herself caught in a life-or-death struggle that threatens to tear her soul apart.	Jun 7, 2005 wide	Horror	Miramax	Rick Bota	1 minutes	NONE	R	Neal Marshall Stevens, Tim Day, Neil Marshall Stevens, Benjamin Carr
1009113-halloween	89%	93%	Donald Pleasence,Jamie Lee Curtis,Nancy Kyes,P.J. Soles,Charles Cyphers,Kyle Richards,Brian Andrews,John Michael Graham,Nancy Stephens,Arthur Malet,Mickey Yablans,Brent LePage,Adam Holender,Adam Hollander,Robert Phalen,Tony Moran,Will Sandin,Sandy Johnson (II) ,David Kyle,Peter Griffith,Nick Castle Jr.	/celebrity/donald_pleasence,/celebrity/jamie_lee_curtis,/celebrity/nancy_kyes,/celebrity/pj_soles,/celebrity/charles_cyphers,/celebrity/kyle_richards_2,/celebrity/brian_andrews,/celebrity/john_michael_graham,/celebrity/nancy_stephens,/celebrity/arthur_malet,/celebrity/mickey_yablans,/celebrity/brent_lepage,/celebrity/adam-holender,/celebrity/adam_hollander,/celebrity/robert-phalen,/celebrity/tony_moran,/celebrity/will_sandin,/celebrity/sandy_johnson_2,/celebrity/david_kyle,/celebrity/peter_griffith,/celebrity/1040953-nick_castle	A young boy kills his sister on Halloween of 1963, and is sent to a mental hospital. 15 years later he escapes and returns to his home town in order to wreak havoc.	Oct 25, 1978 wide	Horror, Mystery & Suspense	Compass International Pictures	John Carpenter	93 minutes	NONE	R	John Carpenter, Debra Hill
2_jacks	19%	33%	Danny Huston,Jacqueline Bisset,Sienna Miller,Billy Zane,Jack Huston,Richard Portnow,Rosie Fellner,Jamie Harris,Lydia Hearst,Izabella Miko,Dave Pressler	/celebrity/danny_huston,/celebrity/jacqueline_bisset,/celebrity/sienna_miller,/celebrity/billy_zane,/celebrity/jack_huston,/celebrity/richard_portnow,/celebrity/rosie_fellner,/celebrity/jamie-harris,/celebrity/lydia-hearst,/celebrity/izabella_miko,/celebrity/dave-pressler	2 Jacks is a comical adaptation of Leo Tolstoy's short story Two Hussars, comparing the generational change from father to son within the same business. The fast-paced Hollywood lifestyle, with romance and glamor, comes alive in 2 Jacks; a now-and-then look at the renowned way of living. Legendary film director Jack Hussar (Danny Huston), notorious gambler and womanizer, returns to the LA scene to raise money for his next feature film. Back in LA, Jack walks himself into an eventful night. Doing what he does best, Jack seduces the stunning Diana (Sienna Miller), attends some wild industry parties, and narrowly escapes a brush with the law, all before playing a high-stakes poker game at dawn. As years pass, Jack Hussar Jr. (Jack Huston) later arrives in Hollywood to follow his father's career path for his directorial debut. Soon after arriving, Diana (now played by Jacqueline Bisset) notices her daughter falling for her former lover's son. Within this film we see the struggle of a son trying to step out of his father's Hollywood shadow.(c) Official Site	Oct 18, 2013 limited	Drama	Breaking Glass Pictures	Bernard Rose	90 minutes	NONE	NR	NONE
in_darkness_2011	80%	88%	Robert Wieckiewicz,Benno Fürmann,Agnieszka Grochowska,Maria Schrader,Herbert Knaup,Marcin Bosak,Julia Kijowska,Jerzy Walczak,Oliwier Stanczak,Milla Bankowicz,Krzysztof Skonieczny,Kinga Preis,Olek Mincer,Piotr Glowacki,Maria Semotiuk,Michal Zurawski,Malgorzata Pieczynska,Etel Szyc,Weronika Rosati,Andrzej Mastalerz,Ida Lozinska,Mania Lozinska,Dorota Liliental,Maja Bohosiewicz,Vito Hanne,Piotr Nowak,Laura Lo Zito,Zachariasz Muszyñski,Olena Leonenko,Jeremias Koschorz,Alexander Levit,Frank Kobe,Ireneusz Czop,Anton Levit,Benjamin Höppner,Ryszard Mosingiewicz,Filip Garbacz,Dorota Pacciarelli,Anielka Nykowska,Wolfgang Boos,Benedikt Crisand,Zofia Pieczynska,Maciej Wieckowski	/celebrity/robert-wieckiewicz,/celebrity/benno_fa_14hrmann,/celebrity/agnieszka_grochowska,/celebrity/maria_schrader,/celebrity/herbert_knaup,/celebrity/marcin_bosak,/celebrity/julia_kijowska,/celebrity/jerzy_walczak,/celebrity/oliwier_stanczak,/celebrity/milla_bankowicz,/celebrity/krzysztof_skonieczny,/celebrity/kinga-preis,/celebrity/olek_mincer,/celebrity/piotr_glowacki,/celebrity/maria_semotiuk,/celebrity/micha_urawski,/celebrity/malgorzata_pieczynska,/celebrity/etel_szyc,/celebrity/weronika_rosati,/celebrity/andrzej_mastalerz,/celebrity/ida_lozinska,/celebrity/mania_lozinska,/celebrity/dorota_liliental,/celebrity/maja_bohosiewicz,/celebrity/vito_hanne,/celebrity/piotr_nowak,/celebrity/laura_lo_zito,/celebrity/zachariasz_muszynski,/celebrity/olena_leonenko,/celebrity/jeremias_koschorz,/celebrity/alexander_levit,/celebrity/frank_kobe,/celebrity/ireneusz-czop,/celebrity/anton_levit,/celebrity/benjamin_hoppner,/celebrity/ryszard_mosingiewicz,/celebrity/filip_garbacz,/celebrity/dorota_pacciarelli,/celebrity/anielka_nykowska,/celebrity/wolfgang_boos,/celebrity/benedikt_crisand,/celebrity/zofia_pieczynska,/celebrity/maciej_wieckowski	From acclaimed director Agnieszka Holland, In Darkness is based on a true story. Leopold Socha, a sewer worker and petty thief in Lvov, a Nazi occupied city in Poland, one day encounters a group of Jews trying to escape the liquidation of the ghetto. He hides them for money in the labyrinth of the town's sewers beneath the bustling activity of the city above. What starts out as a straightforward and cynical business arrangement turns into something very unexpected, the unlikely alliance between Socha and the Jews as the enterprise seeps deeper into Socha's conscience. The film is also an extraordinary story of survival as these men, women and children all try to outwit certain death during 14 months of ever increasing and intense danger. -- (C) Sony Pictures Classics	Feb 10, 2012 limited	Drama	Sony Pictures	Agnieszka Holland	145 minutes	$1,038,733	R (for violence, disturbing images, sexuality, nudity and language)	David F. Shamoon
robin_hood_prince_of_thieves	72%	49%	Kevin Costner,Alan Rickman,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater,Geraldine McEwan,Michael McShane,Brian Blessed,Michael Wincott,Sean Connery,Nick Brimble,Soo Drouet,Daniel Newman,Daniel Peacock,Walter Sparrow,Harold Innocent,Jack Wild,Michael Goldie,Liam Halligan,Marc Zuber,Merelina Kendall,Imogen Bain,Jimmy Gardner,Bobby Parr,John Francis,John Hallam,Douglas Blackwell,Pat Roach,Andy Hockley,John Dallimore,Derek Deadman,Howard Lew Lewis,John Tordoff,Andrew Lawden,Susannah Corbett,Sarah Alexandra,Christopher Adamson,Richard Strange	/celebrity/kevin_costner,/celebrity/alan_rickman,/celebrity/morgan_freeman,/celebrity/mary_elizabeth_mastrantonio,/celebrity/christian_slater,/celebrity/geraldine_mcewan,/celebrity/michael_mcshane,/celebrity/brian_blessed,/celebrity/michael_wincott,/celebrity/sean_connery,/celebrity/nick_brimble,/celebrity/soo_drouet,/celebrity/1147652-daniel_newman,/celebrity/daniel_peacock,/celebrity/walter_sparrow,/celebrity/harold_innocent,/celebrity/jack_wild,/celebrity/michael_goldie,/celebrity/liam_halligan,/celebrity/marc_zuber,/celebrity/merelina_kendall,/celebrity/imogen_bain,/celebrity/jimmy_gardner,/celebrity/bobby_parr,/celebrity/john_francis,/celebrity/john_hallam,/celebrity/douglas_blackwell,/celebrity/pat_roach,/celebrity/andy_hockley,/celebrity/john_dallimore,/celebrity/derek-deadman,/celebrity/howard_lew_lewis,/celebrity/john_tordoff,/celebrity/andrew_lawden,/celebrity/susannah_corbett,/celebrity/sarah_alexandra,/celebrity/christopher_adamson,/celebrity/richard_strange	This film is a '90s version of the classic Robin Hood story, with Kevin Costner starring as the good-guy thief. Costner is joined in his efforts against the murdering Sheriff of Nottingham (Alan Rickman) by Morgan Freeman who plays a philosophizing Moor, and by Nick Brimble, who plays Little John (anything but little). After Robin barely survives a watery skirmish with Little John, the two become allies and Robin joins forces with Little John's band of robber thieves to overcome the evils of the dastardly Nottingham sheriff. ~ Rovi	Jun 14, 1991 wide	Action & Adventure, Drama, Romance	Warner Bros. Pictures	Kevin Reynolds	155 minutes	NONE	PG-13 (violence)	Pen Densham, John Watson
